,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
62,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-11-15,1968.0,100.0,1587,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
63,TOYOTA,YARIS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-12-09,998.0,51.0,1090,5.0,BENZYNA,,LUBELSKIE
64,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2008-06-30,1896.0,77.0,1552,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
65,AUDI,A4,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-11-10,1968.0,105.0,1535,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
66,FORD,TRANSIT,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-07-24,2198.0,103.0,1906,9.0,OLEJ NAPĘDOWY,,LUBELSKIE
67,BMW,X5,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-01-01,2979.0,170.0,2030,5.0,BENZYNA,,LUBELSKIE
68,OPEL,CORSA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-03-29,1229.0,63.0,1088,5.0,BENZYNA,,LUBELSKIE
69,VOLKSWAGEN,SHARAN,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-06-23,1896.0,85.0,1856,7.0,OLEJ NAPĘDOWY,,LUBELSKIE
70,MAZDA,2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-01-01,1496.0,75.0,1040,5.0,BENZYNA,,LUBELSKIE
71,BMW,3ER REIHE,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-06-11,1995.0,110.0,1580,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
72,SUZUKI,SX4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-06-18,1586.0,88.0,1215,5.0,BENZYNA,,LUBELSKIE
73,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-08-20,1198.0,47.0,1083,5.0,BENZYNA,,LUBELSKIE
74,TOYOTA,AVENSIS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-10-08,1987.0,112.0,1505,5.0,BENZYNA,,LUBELSKIE
75,BMW,X1 SDRIVE18D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2014,2019-09-02,2019-09-02,2014-05-27,1995.0,105.0,1495,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
76,OPEL,CORSA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-02-27,1229.0,59.0,1085,5.0,BENZYNA,,LUBELSKIE
77,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-11-28,1997.0,132.0,1615,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
78,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-09-14,1560.0,80.0,1398,5.0,OLEJ NAPĘDOWY,,LUBELSKIE
