,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
33,RENAULT,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2010-01-26,1461.0,66.0,1290,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
34,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-02,2019-09-02,2002-02-14,1390.0,55.0,1165,5.0,BENZYNA,,WIELKOPOLSKIE
35,LANCIA,KAPPA,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,1997,2019-09-02,2019-09-02,1998-01-14,2959.0,150.0,1590,5.0,BENZYNA,,WIELKOPOLSKIE
36,LEXUS,NX300H,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,2494.0,114.0,1801,5.0,BENZYNA,,WIELKOPOLSKIE
37,SEAT,ALTEA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-12-21,1595.0,75.0,1395,5.0,BENZYNA,,WIELKOPOLSKIE
38,FORD,FOCUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-09-02,2019-09-02,2018-11-21,1499.0,88.0,1413,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
39,TOYOTA,COROLLA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,97.0,1333,5.0,BENZYNA,,WIELKOPOLSKIE
40,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1998,2019-09-02,2019-09-02,1998-04-29,1390.0,55.0,1199,5.0,BENZYNA,,WIELKOPOLSKIE
41,OPEL,ASTRA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-01-31,1598.0,77.0,1190,5.0,BENZYNA,,WIELKOPOLSKIE
42,OPEL,SIGNUM,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-07-31,1910.0,110.0,1613,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
43,SKODA,SUPERB,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1498.0,110.0,1501,5.0,BENZYNA,,WIELKOPOLSKIE
44,RENAULT,MODUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-04-21,1461.0,63.0,1260,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
45,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1308,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
46,SKODA,KAROQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1968.0,110.0,1472,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
47,TOYOTA,AYGO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-08-18,998.0,50.0,921,4.0,BENZYNA,,WIELKOPOLSKIE
48,VOLKSWAGEN,BEETLE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,ZABYTKOWY,1968,2019-09-02,2019-09-02,1968-01-19,1192.0,25.0,730,4.0,BENZYNA,,WIELKOPOLSKIE
49,MITSUBISHI,LANCER,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,1997,2019-09-02,2019-09-02,1997-06-09,1999.0,206.0,1260,5.0,BENZYNA,,WIELKOPOLSKIE
50,CITROEN,C3,SAMOCHÓD OSOBOWY,---,UŻYW. ZAKUPIONY W KRAJU,FABRYCZNY,2004,2019-09-02,2019-09-27,2004-12-23,1124.0,44.0,978,5.0,BENZYNA,,WIELKOPOLSKIE
51,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-05-27,1149.0,55.0,1040,5.0,BENZYNA,,WIELKOPOLSKIE
52,BMW,520 D,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-08-31,1995.0,120.0,1675,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
53,SKODA,SCALA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,999.0,85.0,1212,5.0,BENZYNA,,WIELKOPOLSKIE
54,CITROEN,C3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2011-02-25,1398.0,50.0,1145,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
55,BMW,X7 M50D,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,2993.0,294.0,2460,7.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
56,BMW,320I,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-06-15,1995.0,125.0,1390,4.0,BENZYNA,,WIELKOPOLSKIE
57,VOLKSWAGEN,BORA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2001,2019-09-02,2019-09-02,2001-11-13,1598.0,77.0,1290,5.0,BENZYNA,,WIELKOPOLSKIE
58,PEUGEOT,508,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-09-02,2019-09-02,2018-05-08,1997.0,133.0,1695,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
59,VOLVO,V60,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1969.0,140.0,1712,5.0,BENZYNA,,WIELKOPOLSKIE
60,MINI,ONE,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-02-17,1598.0,66.0,1140,4.0,BENZYNA,,WIELKOPOLSKIE
61,MERCEDES-BENZ,B 200,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1332.0,120.0,1420,5.0,BENZYNA,,WIELKOPOLSKIE
62,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1598.0,85.0,1308,5.0,OLEJ NAPĘDOWY,,WIELKOPOLSKIE
63,FORD,FIESTA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-12-23,1242.0,60.0,1041,5.0,BENZYNA,,WIELKOPOLSKIE
64,FIAT,500,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-12-22,875.0,63.0,1045,4.0,BENZYNA,,WIELKOPOLSKIE
65,TOYOTA,C-HR,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1798.0,72.0,1428,5.0,BENZYNA,,WIELKOPOLSKIE
66,AUDI,A3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-02,2019-09-02,2010-03-16,1595.0,75.0,1260,5.0,BENZYNA,,WIELKOPOLSKIE
67,OPEL,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-02-15,1229.0,59.0,1130,5.0,BENZYNA,,WIELKOPOLSKIE
