,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
3590,SKODA,SCALA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,999.0,85.0,1198,5.0,BENZYNA,,POMORSKIE
3591,CITROEN,C4 PICASSO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-24,2019-09-24,2009-01-27,1560.0,80.0,1646,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3592,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-24,2019-09-24,2010-08-19,1390.0,90.0,1290,5.0,BENZYNA,,POMORSKIE
3593,VOLKSWAGEN,CADDY,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1395.0,96.0,1512,5.0,BENZYNA,,POMORSKIE
3594,BMW,320I,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1998.0,135.0,1460,5.0,BENZYNA,,POMORSKIE
3595,SKODA,FABIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-24,2019-09-24,2012-09-25,1198.0,44.0,1095,5.0,BENZYNA,,POMORSKIE
3596,OPEL,MERIVA-A,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-24,2019-09-24,2008-09-25,1796.0,92.0,1380,5.0,BENZYNA,,POMORSKIE
3597,JEEP,WRANGLER UNLIMITED,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1995.0,200.0,2028,5.0,BENZYNA,,POMORSKIE
3598,FIAT,PANDA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1242.0,51.0,980,5.0,BENZYNA,,POMORSKIE
3599,MINI,CLUBMAN COOPER S ALL4,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1998.0,141.0,1485,5.0,BENZYNA,,POMORSKIE
3600,OPEL,ASTRA,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-24,2019-09-24,2007-03-22,1598.0,132.0,1575,4.0,BENZYNA,,POMORSKIE
3601,AUDI,A4,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2010,2019-09-24,2019-09-24,2010-09-21,1968.0,105.0,1675,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3602,DACIA,DOKKER,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1598.0,80.0,1306,5.0,BENZYNA,,POMORSKIE
3603,MAZDA,CX-3,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1998.0,89.0,1229,5.0,BENZYNA,,POMORSKIE
3604,VOLKSWAGEN,CADDY,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1395.0,96.0,1578,7.0,BENZYNA,,POMORSKIE
3605,TOYOTA,YARIS HYBRID,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1497.0,54.0,1134,5.0,BENZYNA,,POMORSKIE
3606,VOLVO,C70,SAMOCHÓD OSOBOWY,KABRIOLET,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-24,2019-09-24,2007-04-27,2435.0,125.0,1698,4.0,BENZYNA,,POMORSKIE
3607,HONDA,JAZZ,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2002,2019-09-24,2019-09-24,2003-02-11,1339.0,61.0,1048,5.0,BENZYNA,,POMORSKIE
3608,JAGUAR,XF,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2018,2019-09-24,2019-09-24,2018-01-01,1997.0,184.0,1660,5.0,BENZYNA,,POMORSKIE
3609,VOLKSWAGEN,CADDY,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1968.0,75.0,1535,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3610,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-24,2019-09-24,2008-10-29,1999.0,107.0,1615,5.0,BENZYNA,,POMORSKIE
3611,MERCEDES-BENZ,C 160,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-24,2019-09-24,,1497.0,95.0,1470,5.0,BENZYNA,,POMORSKIE
3612,PEUGEOT,208,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-11-06,,1199.0,61.0,975,5.0,BENZYNA,,POMORSKIE
3613,SKODA,KODIAQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2018,FABRYCZNY,2019-09-25,2019-11-07,,1968.0,140.0,1861,7.0,OLEJ NAPĘDOWY,,POMORSKIE
3614,VOLVO,V60,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-09-25,,1969.0,184.0,1778,5.0,BENZYNA,,POMORSKIE
3615,BMW,325IX,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,1987,FABRYCZNY,2019-09-25,2019-11-04,1987-10-01,2493.0,125.0,1330,5.0,BENZYNA,,POMORSKIE
3616,SKODA,KAROQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-11-08,,1598.0,85.0,1434,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3617,OPEL,ASTRA SPORTS TOURER,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-11-05,,1399.0,92.0,1265,5.0,BENZYNA,,POMORSKIE
3618,SKODA,KODIAQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-10-30,,1968.0,140.0,1791,5.0,OLEJ NAPĘDOWY,,POMORSKIE
3619,RENAULT,LAGUNA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2007,FABRYCZNY,2019-09-25,2019-09-25,2007-11-22,1997.0,103.0,1444,5.0,BENZYNA,,POMORSKIE
3620,HONDA,HR-V,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-09-25,,1498.0,96.0,1252,5.0,BENZYNA,,POMORSKIE
3621,SKODA,KAROQ,SAMOCHÓD OSOBOWY,KOMBI,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-09-25,,1498.0,110.0,1395,5.0,BENZYNA,,POMORSKIE
3622,CITROEN,C3 AIRCROSS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,2019,FABRYCZNY,2019-09-25,2019-10-24,,1199.0,81.0,1179,5.0,BENZYNA,,POMORSKIE
3623,SKODA,OCTAVIA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2013,FABRYCZNY,2019-09-25,2019-09-25,2013-12-24,1598.0,81.0,1280,5.0,OLEJ NAPĘDOWY,,POMORSKIE
