,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
33,CITROEN,C5,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-03-27,1997.0,120.0,1804,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
34,FORD,FOCUS,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-12-27,1798.0,92.0,1307,5.0,BENZYNA,,OPOLSKIE
35,RENAULT,SCENIC,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-09-02,2019-09-02,2000-07-03,1598.0,79.0,1325,5.0,BENZYNA,,OPOLSKIE
36,VOLKSWAGEN,GOLF PLUS,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-05-04,1968.0,81.0,1474,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
37,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-09-08,1685.0,85.0,1425,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
38,MAZDA,2,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2003,2019-09-02,2019-09-02,2003-04-22,1388.0,59.0,1125,5.0,BENZYNA,,OPOLSKIE
39,OPEL,ASTRA GTC,SAMOCHÓD OSOBOWY,COUPE,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-02,2019-09-02,2005-04-15,1364.0,66.0,1210,5.0,BENZYNA,,OPOLSKIE
40,CITROEN,C4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-10-06,1560.0,68.0,1280,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
41,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-04-26,1896.0,77.0,1573,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
42,TOYOTA,TOYOTA COROLLA,SAMOCHÓD OSOBOWY,KARETA (SEDAN),NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2018,2019-09-02,2019-09-02,,1598.0,97.0,1279,5.0,BENZYNA,,OPOLSKIE
43,MERCEDES-BENZ,C 320 CDI,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2010-03-30,2987.0,165.0,1750,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
44,OPEL,MERIVA,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-02,2019-09-02,2007-08-28,1686.0,74.0,1460,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
45,MAZDA,3,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-12-30,1998.0,88.0,1351,5.0,BENZYNA,,OPOLSKIE
46,KIA,VENGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,1591.0,91.5,1226,5.0,BENZYNA,,OPOLSKIE
47,OPEL,ZAFIRA,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-06-23,1796.0,103.0,1503,7.0,BENZYNA,,OPOLSKIE
48,SKODA,SCALA,SAMOCHÓD OSOBOWY,HATCHBACK,NOWY ZAKUPIONY W KRAJU,FABRYCZNY,2019,2019-09-02,2019-09-02,,999.0,85.0,1183,5.0,BENZYNA,,OPOLSKIE
49,VOLKSWAGEN,TOURAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-02-15,1896.0,77.0,1573,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
50,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,1999,2019-09-02,2019-09-02,1999-04-08,1390.0,55.0,1137,5.0,BENZYNA,,OPOLSKIE
51,SKODA,CITIGO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2016,2019-09-02,2019-09-02,2016-05-25,999.0,44.0,929,4.0,BENZYNA,,OPOLSKIE
52,RENAULT,CLIO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-03,2019-09-03,2009-11-03,1149.0,55.0,1155,5.0,BENZYNA,,OPOLSKIE
53,VOLKSWAGEN,TIGUAN,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,2013,FABRYCZNY,2019-09-03,2019-10-29,2013-06-17,1968.0,103.0,1654,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
54,FIAT,PUNTO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-03,2019-10-08,2009-03-19,1368.0,57.0,1100,4.0,BENZYNA,,OPOLSKIE
55,OPEL,INSIGNIA LIMOUSINE HB,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2014,FABRYCZNY,2019-09-03,2019-09-03,,1956.0,103.0,1733,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
56,FORD,MONDEO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2002,FABRYCZNY,2019-09-03,2019-09-03,2002-04-30,1999.0,107.0,1396,5.0,BENZYNA,,OPOLSKIE
57,RENAULT,KANGOO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2009,FABRYCZNY,2019-09-03,2019-09-03,2009-03-31,1598.0,64.0,1412,5.0,BENZYNA,,OPOLSKIE
58,FIAT,DOBLO,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,2011,FABRYCZNY,2019-09-03,2019-09-03,2011-06-16,1598.0,66.0,1485,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
59,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,2004,FABRYCZNY,2019-09-03,2019-09-03,2004-04-07,1598.0,85.0,1259,5.0,BENZYNA,,OPOLSKIE
60,RENAULT,,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-03,2019-09-03,2005-04-29,1598.0,83.0,1250,5.0,BENZYNA,,OPOLSKIE
61,OPEL,ZAFIRA,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-03,2019-09-03,2006-06-27,1910.0,88.0,1613,7.0,OLEJ NAPĘDOWY,,OPOLSKIE
62,VOLKSWAGEN,PASSAT,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2015,2019-09-03,2019-09-03,2016-01-11,1968.0,110.0,1475,5.0,OLEJ NAPĘDOWY,,OPOLSKIE
63,OPEL,MERIVA 1.4 KAT,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2005,2019-09-03,2019-09-03,2005-11-07,1364.0,66.0,1330,5.0,BENZYNA,,OPOLSKIE
64,CITROEN,C4,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-03,2019-09-03,2006-05-24,1587.0,80.0,1275,5.0,BENZYNA,,OPOLSKIE
65,VOLKSWAGEN,POLO,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-03,2019-09-03,2011-10-21,1390.0,63.0,1127,5.0,BENZYNA,,OPOLSKIE
66,OPEL,,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2007,2019-09-03,2019-09-20,2007-06-12,1229.0,59.0,1160,5.0,BENZYNA,,OPOLSKIE
