,marka,model,rodzaj-pojazdu,podrodzaj-pojazdu,pochodzenie-pojazdu,sposob-produkcji,rok-produkcji,data-pierwszej-rejestracji-w-kraju,data-ostatniej-rejestracji-w-kraju,data-rejestracji-za-granica,pojemnosc-skokowa-silnika,moc-netto-silnika,masa-wlasna,liczba-miejsc-ogolem,rodzaj-paliwa,kierownica-po-prawej-stronie,rejestracja-wojewodztwo
37,FORD,KUGA,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-11-05,1997.0,100.0,1613,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
38,KIA,SPORTAGE,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-02,2008-06-16,1991.0,103.0,1665,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
39,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2008,2019-09-02,2019-09-04,2008-09-11,2179.0,129.0,1540,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
40,RENAULT,MODUS,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2011,2019-09-02,2019-09-02,2011-09-06,1149.0,55.0,1155,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
41,VOLKSWAGEN,GOLF,SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-09-02,2019-09-02,2000-02-02,1598.0,77.0,1207,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
42,FORD,MONDEO,SAMOCHÓD OSOBOWY,KOMBI,UŻYW. IMPORT INDYW,FABRYCZNY,2013,2019-09-02,2019-09-02,2013-11-01,1560.0,85.0,1505,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
43,OPEL,INSIGNIA LIMOUSINE NB,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2012,2019-09-02,2019-09-02,2012-02-09,1364.0,103.0,1613,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
44,FORD,S-MAX,SAMOCHÓD OSOBOWY,WIELOZADANIOWY,UŻYW. IMPORT INDYW,FABRYCZNY,2009,2019-09-02,2019-09-02,2009-05-29,1997.0,103.0,1743,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
45,OPEL,MERIVA,SAMOCHÓD OSOBOWY,VAN,UŻYW. IMPORT INDYW,FABRYCZNY,2004,2019-09-02,2019-09-02,2004-03-09,1598.0,74.0,1375,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
46,VOLKSWAGEN,"POLO 1,4",SAMOCHÓD OSOBOWY,HATCHBACK,UŻYW. IMPORT INDYW,FABRYCZNY,2000,2019-09-02,2019-09-02,2000-08-08,1390.0,44.0,996,5.0,BENZYNA,,WARMIŃSKO-MAZURSKIE
47,MERCEDES-BENZ,E 220 CDI,SAMOCHÓD OSOBOWY,KARETA (SEDAN),UŻYW. IMPORT INDYW,FABRYCZNY,2006,2019-09-02,2019-09-02,2006-03-15,2148.0,110.0,1640,5.0,OLEJ NAPĘDOWY,,WARMIŃSKO-MAZURSKIE
